2021-12-11 22:12:964 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (9b3dccefae17842292a40071197cdec9)] -> id: toggle-hp-search]
2021-12-11 22:12:536 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (9b3dccefae17842292a40071197cdec9)] -> id: salarymax]
2021-12-11 22:12:655 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (9b3dccefae17842292a40071197cdec9)] -> id: salarymax]
2021-12-11 22:12:838 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (9b3dccefae17842292a40071197cdec9)] -> id: salarymin]
2021-12-11 22:12:955 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (9b3dccefae17842292a40071197cdec9)] -> id: salarymin]
2021-12-11 22:12:175 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (9b3dccefae17842292a40071197cdec9)] -> id: hp-search-btn]
2021-12-11 22:12:17 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:261 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (83f47c3a46cc71b1bd554e6a8c73f252)] -> id: keywords]
2021-12-11 22:12:499 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (83f47c3a46cc71b1bd554e6a8c73f252)] -> id: location]
2021-12-11 22:12:735 INFO  HomePage :86 - Selecting Distance : [[ChromeDriver: chrome on WINDOWS (83f47c3a46cc71b1bd554e6a8c73f252)] -> xpath: (//select[@id='distance'])[1]]
2021-12-11 22:12:11 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (83f47c3a46cc71b1bd554e6a8c73f252)] -> id: toggle-hp-search]
2021-12-11 22:12:388 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (83f47c3a46cc71b1bd554e6a8c73f252)] -> id: salarymax]
2021-12-11 22:12:495 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (83f47c3a46cc71b1bd554e6a8c73f252)] -> id: salarymax]
2021-12-11 22:12:837 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (83f47c3a46cc71b1bd554e6a8c73f252)] -> id: salarymin]
2021-12-11 22:12:165 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (83f47c3a46cc71b1bd554e6a8c73f252)] -> id: salarymin]
2021-12-11 22:12:615 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (83f47c3a46cc71b1bd554e6a8c73f252)] -> id: hp-search-btn]
2021-12-11 22:12:207 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:397 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (06bb313f096e962367f97cc0f304cca9)] -> id: keywords]
2021-12-11 22:12:30 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (06bb313f096e962367f97cc0f304cca9)] -> id: location]
2021-12-11 22:12:455 INFO  HomePage :86 - Selecting Distance : [[ChromeDriver: chrome on WINDOWS (06bb313f096e962367f97cc0f304cca9)] -> xpath: (//select[@id='distance'])[1]]
2021-12-11 22:12:943 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (06bb313f096e962367f97cc0f304cca9)] -> id: toggle-hp-search]
2021-12-11 22:12:446 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (06bb313f096e962367f97cc0f304cca9)] -> id: salarymax]
2021-12-11 22:12:622 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (06bb313f096e962367f97cc0f304cca9)] -> id: salarymax]
2021-12-11 22:12:880 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (06bb313f096e962367f97cc0f304cca9)] -> id: salarymin]
2021-12-11 22:12:231 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (06bb313f096e962367f97cc0f304cca9)] -> id: salarymin]
2021-12-11 22:12:863 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (06bb313f096e962367f97cc0f304cca9)] -> id: hp-search-btn]
2021-12-11 23:12:115 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 23:12:88 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (926c4b62885d53132d54e88d9ba4d9cf)] -> id: keywords]
2021-12-11 23:12:558 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (926c4b62885d53132d54e88d9ba4d9cf)] -> id: location]
2021-12-11 23:12:862 INFO  HomePage :86 - Selecting Distance : [[ChromeDriver: chrome on WINDOWS (926c4b62885d53132d54e88d9ba4d9cf)] -> xpath: (//select[@id='distance'])[1]]
2021-12-11 23:12:223 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (926c4b62885d53132d54e88d9ba4d9cf)] -> id: toggle-hp-search]
2021-12-11 23:12:846 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (926c4b62885d53132d54e88d9ba4d9cf)] -> id: salarymin]
2021-12-11 23:12:123 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (926c4b62885d53132d54e88d9ba4d9cf)] -> id: salarymax]
2021-12-11 23:12:329 INFO  HomePage :114 - Selecting Salary Type : [[ChromeDriver: chrome on WINDOWS (926c4b62885d53132d54e88d9ba4d9cf)] -> xpath: (//select[@id='salarytype'])[1]]
2021-12-11 23:12:542 INFO  HomePage :120 - select Job Type : [[ChromeDriver: chrome on WINDOWS (926c4b62885d53132d54e88d9ba4d9cf)] -> xpath: (//select[@id='tempperm'])[1]]
2021-12-11 23:12:839 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (926c4b62885d53132d54e88d9ba4d9cf)] -> id: hp-search-btn]
2021-12-11 23:12:687 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 23:12:490 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (33165b502ec10d0e7cb6ccfdbe7840fb)] -> id: keywords]
2021-12-11 23:12:698 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (33165b502ec10d0e7cb6ccfdbe7840fb)] -> id: location]
2021-12-11 23:12:943 INFO  HomePage :86 - Selecting Distance : [[ChromeDriver: chrome on WINDOWS (33165b502ec10d0e7cb6ccfdbe7840fb)] -> xpath: (//select[@id='distance'])[1]]
2021-12-11 23:12:279 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (33165b502ec10d0e7cb6ccfdbe7840fb)] -> id: toggle-hp-search]
2021-12-11 23:12:692 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (33165b502ec10d0e7cb6ccfdbe7840fb)] -> id: salarymin]
2021-12-11 23:12:928 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (33165b502ec10d0e7cb6ccfdbe7840fb)] -> id: salarymax]
2021-12-11 23:12:139 INFO  HomePage :114 - Selecting Salary Type : [[ChromeDriver: chrome on WINDOWS (33165b502ec10d0e7cb6ccfdbe7840fb)] -> xpath: (//select[@id='salarytype'])[1]]
2021-12-11 23:12:308 INFO  HomePage :120 - select Job Type : [[ChromeDriver: chrome on WINDOWS (33165b502ec10d0e7cb6ccfdbe7840fb)] -> xpath: (//select[@id='tempperm'])[1]]
2021-12-11 23:12:647 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (33165b502ec10d0e7cb6ccfdbe7840fb)] -> id: hp-search-btn]
2021-12-11 23:12:525 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 23:12:943 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (1d639f08b9e581c2c992417cc432b6ad)] -> id: keywords]
2021-12-11 23:12:227 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (1d639f08b9e581c2c992417cc432b6ad)] -> id: location]
2021-12-11 23:12:560 INFO  HomePage :86 - Selecting Distance : [[ChromeDriver: chrome on WINDOWS (1d639f08b9e581c2c992417cc432b6ad)] -> xpath: (//select[@id='distance'])[1]]
2021-12-11 23:12:829 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (1d639f08b9e581c2c992417cc432b6ad)] -> id: toggle-hp-search]
2021-12-11 23:12:276 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (1d639f08b9e581c2c992417cc432b6ad)] -> id: salarymin]
2021-12-11 23:12:532 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (1d639f08b9e581c2c992417cc432b6ad)] -> id: salarymax]
2021-12-11 23:12:758 INFO  HomePage :114 - Selecting Salary Type : [[ChromeDriver: chrome on WINDOWS (1d639f08b9e581c2c992417cc432b6ad)] -> xpath: (//select[@id='salarytype'])[1]]
2021-12-11 23:12:24 INFO  HomePage :120 - select Job Type : [[ChromeDriver: chrome on WINDOWS (1d639f08b9e581c2c992417cc432b6ad)] -> xpath: (//select[@id='tempperm'])[1]]
2021-12-11 23:12:414 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (1d639f08b9e581c2c992417cc432b6ad)] -> id: hp-search-btn]
2021-12-11 23:12:744 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 23:12:954 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (7da921af058163d25ae65ecbfade1e1b)] -> id: keywords]
2021-12-11 23:12:203 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (7da921af058163d25ae65ecbfade1e1b)] -> id: location]
2021-12-11 23:12:448 INFO  HomePage :86 - Selecting Distance : [[ChromeDriver: chrome on WINDOWS (7da921af058163d25ae65ecbfade1e1b)] -> xpath: (//select[@id='distance'])[1]]
2021-12-11 23:12:835 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (7da921af058163d25ae65ecbfade1e1b)] -> id: toggle-hp-search]
2021-12-11 23:12:268 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (7da921af058163d25ae65ecbfade1e1b)] -> id: salarymin]
2021-12-11 23:12:495 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (7da921af058163d25ae65ecbfade1e1b)] -> id: salarymax]
2021-12-11 23:12:714 INFO  HomePage :114 - Selecting Salary Type : [[ChromeDriver: chrome on WINDOWS (7da921af058163d25ae65ecbfade1e1b)] -> xpath: (//select[@id='salarytype'])[1]]
2021-12-11 23:12:939 INFO  HomePage :120 - select Job Type : [[ChromeDriver: chrome on WINDOWS (7da921af058163d25ae65ecbfade1e1b)] -> xpath: (//select[@id='tempperm'])[1]]
2021-12-11 23:12:291 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (7da921af058163d25ae65ecbfade1e1b)] -> id: hp-search-btn]
2021-12-11 23:12:927 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 23:12:47 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (3dd9d2a1f02e1f3825a631db2abdf351)] -> id: keywords]
2021-12-11 23:12:345 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (3dd9d2a1f02e1f3825a631db2abdf351)] -> id: location]
